network,quantity,symbol,unit,method,finite outputs,attempted samples,method converged samples,common converged samples,sigma calibration samples,MCS [%],MWS,MWIS,standardized MWS,standardized MWIS,component class,rated voltage [kV]
CIGRE LV,Active power,sigma_P,kW,Analytical UQ ILSE,77,1000,1000,1000,0,68.7961038961039,0.49351924037912576,0.7508534533519435,2.0212557794156356,3.0751929365832207,Branch terminal,0.4
CIGRE LV,Active power,sigma_P,kW,Monte Carlo UQ ILSE,77,1000,1000,1000,1000,68.25584415584414,0.48832933011754504,0.7466620685263968,2.000000000000004,3.0580267146627076,Branch terminal,0.4
CIGRE LV,Active power,sigma_P,kW,Analytical UQ NRSE,77,1000,1000,1000,0,69.8,0.49900426921264945,0.7367555641809339,2.0934361246156166,3.090856748583563,Branch terminal,0.4
CIGRE LV,Active power,sigma_P,kW,Monte Carlo UQ NRSE,77,1000,1000,1000,1000,68.28311688311689,0.4767322617061228,0.7289072550792886,2.0000000000000098,3.0579313112592335,Branch terminal,0.4
CIGRE LV,Active power,sigma_P,kW,Gain inverse NumPy,77,1000,1000,1000,1,89.99999999999999,0.9050490610661456,0.9930129432481842,3.7968861508435485,4.165914594050792,Branch terminal,0.4
CIGRE LV,Reactive power,sigma_Q,kvar,Analytical UQ ILSE,77,1000,1000,1000,0,67.59090909090911,0.501213253364806,0.80608636327951,1.8979361885453212,3.0523943046006017,Branch terminal,0.4
CIGRE LV,Reactive power,sigma_Q,kvar,Monte Carlo UQ ILSE,77,1000,1000,1000,1000,68.36753246753247,0.5281666015852321,0.8002543468532151,1.999999999999997,3.0303103015273636,Branch terminal,0.4
CIGRE LV,Reactive power,sigma_Q,kvar,Analytical UQ NRSE,77,1000,1000,1000,0,68.16103896103895,0.5004245247904736,0.7998301651246342,1.918583285809607,3.066477980744388,Branch terminal,0.4
CIGRE LV,Reactive power,sigma_Q,kvar,Monte Carlo UQ NRSE,77,1000,1000,1000,1000,68.41558441558443,0.5216604652941127,0.7914622311023438,2.0,3.0343960631792046,Branch terminal,0.4
CIGRE LV,Reactive power,sigma_Q,kvar,Gain inverse NumPy,77,1000,1000,1000,1,91.09610389610391,0.890077956260573,0.9791105515515048,3.4124800151713477,3.753823096406132,Branch terminal,0.4
